"Day ","Location ","Product ","Unit Sold ","Revenue ","COGS "
"22","Los Angeles","Mouthwash","314","15700","3806.00"
"22","Los Angeles","Body Wash  ","270","14850","3683.00"
"22","Los Angeles","Shampoo","692","33216","10572.00"
"22","New York","Mouthwash","578","31790","7006.00"
"22","New York","Body Wash  ","378","22680","5156.00"
"22","New York","Shampoo","867","56355","13246.00"
"21","Los Angeles","Mouthwash","307","15350","3777.00"
"21","Los Angeles","Body Wash  ","293","16115","4002.00"
"21","Los Angeles","Shampoo","806","38688","12353.00"
"21","New York","Mouthwash","600","33000","7382.00"
"21","New York","Body Wash  ","393","23580","5368.00"
"21","New York","Shampoo","776","50440","11893.00"
"20","Los Angeles","Mouthwash","317","15850","3900.00"
"20","Los Angeles","Body Wash  ","285","15675","3893.00"
"20","Los Angeles","Shampoo","768","36864","11771.00"
"20","New York","Mouthwash","617","33935","7591.00"
"20","New York","Body Wash  ","398","23880","5437.00"
"20","New York","Shampoo","860","55900","13181.00"
"19","Los Angeles","Mouthwash","329","16450","4048.00"
"19","Los Angeles","Body Wash  ","295","16225","4030.00"
"19","Los Angeles","Shampoo","832","39936","12752.00"
"19","New York","Mouthwash","583","32065","7173.00"
"19","New York","Body Wash  ","376","22560","5136.00"
"19","New York","Shampoo","837","54405","12828.00"
"18","Los Angeles","Mouthwash","298","14900","3667.00"
"18","Los Angeles","Body Wash  ","285","15675","3893.00"
"18","Los Angeles","Shampoo","779","37392","11939.00"
"18","New York","Mouthwash","596","32780","7333.00"
"18","New York","Body Wash  ","371","22260","5068.00"
"18","New York","Shampoo","815","52975","12491.00"
"17","Los Angeles","Mouthwash","361","18050","4442.00"
"17","Los Angeles","Body Wash  ","305","16775","4166.00"
"17","New York","Mouthwash","681","37455","8379.00"
"17","New York","Body Wash  ","400","24000","5464.00"
"17","New York","Shampoo","847","55055","12982.00"
"16","Los Angeles","Mouthwash","370","18500","4552.00"
"16","Los Angeles","Body Wash  ","321","17655","4385.00"
"16","New York","Mouthwash","612","33660","7530.00"
"16","New York","Body Wash  ","416","24960","5683.00"
"16","New York","Shampoo","822","53430","12598.00"
"15","Los Angeles","Mouthwash","580","29000","7136.00"
"15","Los Angeles","Body Wash  ","501","27555","6844.00"
"15","New York","Mouthwash","637","35035","7838.00"
"15","New York","Body Wash  ","423","25380","5778.00"
"15","New York","Shampoo","865","56225","13257.00"
"14","Los Angeles","Mouthwash","1859","92950","22769.00"
